customer_id;frequency;monetary;recency;R;F;M;RFM;description_eng;label_eng;year
13817.0;4;60.9;7;3;1;1;311;recently active, one-time, low CFs;drifting;2010
15562.0;5;294.27;7;3;1;1;311;recently active, one-time, low CFs;drifting;2010
15587.0;6;790.5600000000001;7;3;1;2;312;recently active, one-time, moderate CFs;drifting;2010
13165.0;19;774.24;7;3;2;2;322;recently active, rare, moderate CFs;loyal;2010
13922.0;24;731.25;7;3;2;2;322;recently active, rare, moderate CFs;loyal;2010
12585.0;50;942.39;7;3;2;3;323;recently active, rare, high CFs;loyal;2010
13304.0;55;850.04;7;3;2;2;322;recently active, rare, moderate CFs;loyal;2010
15235.0;59;939.23;7;3;3;3;333;recently active, frequent, high CFs;VIP;2010
13777.0;111;18228.280000000002;7;3;3;3;333;recently active, frequent, high CFs;VIP;2010
18116.0;253;941.85;7;3;3;3;333;recently active, frequent, high CFs;VIP;2010
15856.0;311;9903.05;7;3;3;3;333;recently active, frequent, high CFs;VIP;2010
14085.0;400;3754.23;7;3;3;3;333;recently active, frequent, high CFs;VIP;2010
15311.0;1296;31319.96;7;3;3;3;333;recently active, frequent, high CFs;VIP;2010
12748.0;2201;18848.96;7;3;3;3;333;recently active, frequent, high CFs;VIP;2010
14911.0;4119;114480.08;7;3;3;3;333;recently active, frequent, high CFs;VIP;2010
13953.0;5;3125.0;8;3;1;3;313;recently active, one-time, high CFs;drifting;2010
12734.0;11;503.25;8;3;1;2;312;recently active, one-time, moderate CFs;drifting;2010
12383.0;27;384.12;8;3;2;2;322;recently active, rare, moderate CFs;loyal;2010
14533.0;27;1328.25;8;3;2;3;323;recently active, rare, high CFs;loyal;2010
18092.0;43;5490.52;8;3;2;3;323;recently active, rare, high CFs;loyal;2010
17593.0;89;2183.63;8;3;3;3;333;recently active, frequent, high CFs;VIP;2010
16477.0;105;1722.83;8;3;3;3;333;recently active, frequent, high CFs;VIP;2010
17905.0;111;1564.86;8;3;3;3;333;recently active, frequent, high CFs;VIP;2010
14092.0;131;2324.74;8;3;3;3;333;recently active, frequent, high CFs;VIP;2010
14532.0;167;1158.33;8;3;3;3;333;recently active, frequent, high CFs;VIP;2010
17894.0;216;1123.8;8;3;3;3;333;recently active, frequent, high CFs;VIP;2010
15044.0;341;6393.2;8;3;3;3;333;recently active, frequent, high CFs;VIP;2010
14606.0;2796;13849.28;8;3;3;3;333;recently active, frequent, high CFs;VIP;2010
15208.0;4;70.05000000000001;9;3;1;1;311;recently active, one-time, low CFs;drifting;2010
13029.0;6;1030.5;9;3;1;3;313;recently active, one-time, high CFs;drifting;2010
17306.0;6;1322.4;9;3;1;3;313;recently active, one-time, high CFs;drifting;2010
13487.0;13;214.04999999999998;9;3;1;1;311;recently active, one-time, low CFs;drifting;2010
12515.0;15;366.0;9;3;1;2;312;recently active, one-time, moderate CFs;drifting;2010
17990.0;27;649.97;9;3;2;2;322;recently active, rare, moderate CFs;loyal;2010
16996.0;28;555.24;9;3;2;2;322;recently active, rare, moderate CFs;loyal;2010
14737.0;29;2350.62;9;3;2;3;323;recently active, rare, high CFs;loyal;2010
12423.0;34;581.87;9;3;2;2;322;recently active, rare, moderate CFs;loyal;2010
16270.0;48;1049.59;9;3;2;3;323;recently active, rare, high CFs;loyal;2010
17213.0;73;1354.51;9;3;3;3;333;recently active, frequent, high CFs;VIP;2010
14135.0;75;2865.27;9;3;3;3;333;recently active, frequent, high CFs;VIP;2010
12971.0;101;4167.63;9;3;3;3;333;recently active, frequent, high CFs;VIP;2010
17211.0;108;1175.85;9;3;3;3;333;recently active, frequent, high CFs;VIP;2010
16029.0;110;32859.9;9;3;3;3;333;recently active, frequent, high CFs;VIP;2010
12678.0;130;9523.71;9;3;3;3;333;recently active, frequent, high CFs;VIP;2010
17400.0;183;1701.97;9;3;3;3;333;recently active, frequent, high CFs;VIP;2010
17961.0;215;1083.5;9;3;3;3;333;recently active, frequent, high CFs;VIP;2010
15034.0;287;3243.95;9;3;3;3;333;recently active, frequent, high CFs;VIP;2010
15581.0;335;2649.81;9;3;3;3;333;recently active, frequent, high CFs;VIP;2010
14646.0;1102;152623.12;9;3;3;3;333;recently active, frequent, high CFs;VIP;2010
12944.0;11;225.89999999999998;10;3;1;1;311;recently active, one-time, low CFs;drifting;2010
13104.0;11;712.38;10;3;1;2;312;recently active, one-time, moderate CFs;drifting;2010
17090.0;25;1005.33;10;3;2;3;323;recently active, rare, high CFs;loyal;2010
17621.0;26;1427.32;10;3;2;3;323;recently active, rare, high CFs;loyal;2010
18097.0;38;1581.38;10;3;2;3;323;recently active, rare, high CFs;loyal;2010
14113.0;42;3881.64;10;3;2;3;323;recently active, rare, high CFs;loyal;2010
15460.0;49;180.26;10;3;2;1;321;recently active, rare, low CFs;loyal;2010
13027.0;55;9448.8;10;3;2;3;323;recently active, rare, high CFs;loyal;2010
12721.0;56;983.1;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
16353.0;63;2570.95;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
14083.0;72;304.34;10;3;3;2;332;recently active, frequent, moderate CFs;loyal;2010
15312.0;73;1240.54;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
16153.0;73;1398.34;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
16143.0;73;1887.64;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
15279.0;75;1298.79;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
17069.0;76;1745.83;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
14051.0;78;3336.2200000000003;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
12377.0;80;1980.7;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
17230.0;92;3526.16;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
15527.0;131;2340.9;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
12481.0;131;4866.8;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
14733.0;154;6737.21;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
15078.0;155;3870.51;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
14062.0;181;11279.88;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
14099.0;222;2237.71;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
16422.0;262;20103.87;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
16684.0;280;49888.69;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
13319.0;309;7112.87;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
17340.0;350;9824.17;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
15867.0;421;2994.24;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
16713.0;493;5983.7300000000005;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
12681.0;499;10895.32;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
13050.0;524;5910.35;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
17085.0;666;5237.51;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
13564.0;853;11438.26;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
14527.0;944;9576.03;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
14298.0;1030;32536.06;10;3;3;3;333;recently active, frequent, high CFs;VIP;2010
14472.0;61;434.53;11;3;3;2;332;recently active, frequent, moderate CFs;loyal;2010
