label_eng_2010;label_eng_2011;customer_count;seg_share_2010;seg_share_2010_p
VIP;VIP;304;0.49917898193760263;49.92%
VIP;drifting;124;0.20361247947454844;20.36%
VIP;loyal;54;0.08866995073891626;8.87%
VIP;outflow;23;0.03776683087027915;3.78%
VIP;risk of outflow;69;0.11330049261083744;11.33%
VIP;sleeping;35;0.05747126436781609;5.75%
drifting;VIP;65;0.13402061855670103;13.4%
drifting;drifting;137;0.2824742268041237;28.25%
drifting;loyal;61;0.12577319587628866;12.58%
drifting;outflow;60;0.12371134020618557;12.37%
drifting;risk of outflow;75;0.15463917525773196;15.46%
drifting;sleeping;87;0.17938144329896907;17.94%
loyal;VIP;57;0.15281501340482573;15.28%
loyal;drifting;52;0.13941018766756033;13.94%
loyal;loyal;71;0.1903485254691689;19.03%
loyal;outflow;57;0.15281501340482573;15.28%
loyal;risk of outflow;56;0.15013404825737264;15.01%
loyal;sleeping;80;0.21447721179624665;21.45%
outflow;VIP;5;0.019455252918287938;1.95%
outflow;drifting;19;0.07392996108949416;7.39%
outflow;loyal;11;0.042801556420233464;4.28%
outflow;outflow;112;0.4357976653696498;43.58%
outflow;risk of outflow;46;0.17898832684824903;17.9%
outflow;sleeping;64;0.2490272373540856;24.9%
risk of outflow;VIP;36;0.1016949152542373;10.17%
risk of outflow;drifting;46;0.12994350282485875;12.99%
risk of outflow;loyal;34;0.096045197740113;9.6%
risk of outflow;outflow;61;0.17231638418079095;17.23%
risk of outflow;risk of outflow;103;0.2909604519774011;29.1%
risk of outflow;sleeping;74;0.20903954802259886;20.9%
sleeping;VIP;34;0.06104129263913824;6.1%
sleeping;drifting;78;0.1400359066427289;14.0%
sleeping;loyal;67;0.12028725314183124;12.03%
sleeping;outflow;123;0.22082585278276481;22.08%
sleeping;risk of outflow;80;0.1436265709156194;14.36%
sleeping;sleeping;175;0.3141831238779174;31.42%
